file,sheet,objective,time_sec,time_formatted,hotels_selected,assignment_cost,misplacement_cost,contract_cost
1,0,94801,99,1m 39s,11/12,51621,0,43180
1,1,100617,55,56s,11/12,57718,42899,0
1,2,178856,101,1m 42s,8/12,35856,143000,0
2,0,132056,142,2m 23s,8/15,36057,95999,0
2,1,43627,212,3m 32s,12/15,37243,4599,1784
2,2,149107,259,4m 20s,12/15,31425,58499,59181
3,0,183295,422,7m 2s,14/18,50695,132600,0
3,1,137086,539,8m 59s,14/18,38368,88000,10717
3,2,127155,257,4m 17s,12/18,25529,93700,7926
4,0,186286,829,13m 50s,16/21,45784,119400,21102
4,1,49510,699,11m 39s,11/21,23652,3400,22458
4,2,140353,424,7m 4s,15/21,36153,53299,50900
5,0,983601,191,3m 11s,9/12,37101,484000,462499
5,1,172702,146,2m 26s,10/12,79702,93000,0
5,2,98317,182,3m 2s,10/12,41922,45899,10496
6,0,247258,311,5m 11s,14/15,74759,172499,0
6,1,96900,364,6m 4s,15/15,68500,28400,0
6,2,123997,445,7m 26s,12/15,67773,16800,39424
7,0,285118,1069,17m 50s,15/18,49024,204600,31494
7,1,262446,840,14m 0s,10/18,41846,220600,0
7,2,154064,750,12m 30s,18/18,59195,91200,3669
8,0,424851,1492,24m 53s,18/21,69687,30399,324764
8,1,492618,2187,36m 28s,11/21,32338,428800,31480
8,2,104991,1598,26m 38s,15/21,47591,57400,0
9,0,199220,319,5m 19s,10/16,51412,110000,37808
9,1,177590,416,6m 56s,14/16,61189,16500,99901
9,2,96584,384,6m 24s,13/16,50327,32599,13657
10,0,115028,693,11m 33s,14/20,43054,36000,35974
10,1,225516,957,15m 57s,20/20,55699,57899,111917
10,2,208828,1239,20m 40s,14/20,34010,140200,34618
11,0,230435,1904,31m 45s,18/24,50862,48600,130973
11,1,184519,1453,24m 14s,17/24,48588,95800,40131
11,2,93804,1737,28m 57s,21/24,36504,57300,0
12,0,103942,4050,1h 7m 31s,24/28,69823,11000,23119
12,1,249324,2465,41m 6s,24/28,59324,190000,0
12,2,86835,3256,54m 16s,24/28,50698,14200,21937
13,0,570108,568,9m 29s,13/16,96213,341200,132694
13,1,238692,653,10m 54s,15/16,72393,130000,36299
13,2,146337,799,13m 20s,13/16,74577,61100,10660
14,0,723164,1643,27m 23s,19/20,94477,164000,464687
14,1,688832,1558,25m 59s,14/20,83832,605000,0
14,2,140904,1302,21m 42s,17/20,88461,48400,4043
