instance,ils_time_s,delta_pct,open_hotels_ils,best_obj_ils,ll_vars_ils,ratio_cpu,cpu_time_s,open_hotels_mibs,best_obj_mibs
1,99.0,-71.81,24,26726.093999999997,501,291.17647058823525,0.34,24,26726.093999999997
2,142.0,-88.54,22,15130.41,615,458.06451612903226,0.31,22,15130.41
3,422.0,-80.94,36,34939.401,729,629.8507462686567,0.67,36,34939.401
4,829.0,-83.26,38,31179.092999999997,843,55.48862115127176,14.94,38,31179.092999999997
5,191.0,-85.0,22,147528.03,816,160.50420168067228,1.19,22,147528.03
6,311.0,-63.62,30,89951.34,1002,195.59748427672955,1.59,30,89951.34
7,1069.0,-86.56,36,38316.381,1188,694.1558441558442,1.54,36,38316.381
8,1492.0,-92.83,42,30457.012000000002,1374,1073.381294964029,1.39,42,30457.012000000002
9,319.0,-88.73,26,22444.265,860,60.87786259541984,5.24,26,22444.265
10,693.0,-83.69,36,18766.201,1060,374.5945945945946,1.85,36,18766.201
11,1904.0,-86.97,42,30024.605,1260,482.02531645569616,3.95,42,30024.605
12,4050.0,-74.23,56,26781.682,1460,379.92495309568477,10.66,56,26781.682
