instance,ils_obj,ils_cpu_time,ils_assignment_cost,ils_misplacement_cost,ils_contract_cost,ils_hotels,tot_hotels,mibs_cpu_time,open_hotels,best_obj,ils_gap_from_lb,delta_pct,cpu_ratio
1.0,94800.0,99.0,51620.0,0.0,43180.0,11.0,12.0,0.34,24.0,26720.0,68070.0,-254.7,291.1
2.0,132000.0,142.0,36050.0,95990.0,0.0,8.0,15.0,0.31,22.0,15130.0,116900.0,-772.7,458.0
3.0,183200.0,422.0,50690.0,132600.0,0.0,14.0,18.0,0.67,36.0,34930.0,148300.0,-424.6,629.8
4.0,186200.0,829.0,45780.0,119400.0,21100.0,16.0,21.0,14.94,38.0,31170.0,155100.0,-497.4,55.48
5.0,983600.0,191.0,37100.0,484000.0,462400.0,9.0,12.0,1.19,22.0,147500.0,836000.0,-566.7,160.5
6.0,247200.0,311.0,74750.0,172400.0,0.0,14.0,15.0,1.59,30.0,89950.0,157300.0,-174.8,195.5
7.0,285100.0,1069.0,49020.0,204600.0,31490.0,15.0,18.0,1.54,36.0,38310.0,246800.0,-644.1,694.1
8.0,424800.0,1492.0,69680.0,30390.0,324700.0,18.0,21.0,1.39,42.0,30450.0,394300.0,-1294.0,1073.0
9.0,199200.0,319.0,51410.0,110000.0,37800.0,10.0,16.0,5.24,26.0,22440.0,176700.0,-787.6,60.87
10.0,115000.0,693.0,43050.0,36000.0,35970.0,14.0,20.0,1.85,36.0,18760.0,96260.0,-512.9,374.5
11.0,230400.0,1904.0,50860.0,48600.0,130900.0,18.0,24.0,3.95,42.0,30020.0,200400.0,-667.4,482.0
12.0,103900.0,4050.0,69820.0,11000.0,23110.0,24.0,28.0,10.66,56.0,26780.0,77160.0,-288.1,379.9
